@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0-weka.filters.unsupervised.attribute.Remove-R4,8-10,12-13,17-18,20'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Cost_Price {Medium,Low,High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Return_Rate {High,Low,Medium}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Bottoms,Balenciaga,Kurta,XXL,Red,All-Season,Medium,Medium,Low,Adult,High,'High Sales'
Athleisure,Nike,Leggings,XL,Purple,Summer,Medium,Medium,Medium,Elder,Medium,'High Sales'
Tops,'Ralph Lauren',Skirt,XXL,Purple,All-Season,Medium,High,High,Teen,High,'High Sales'
'Traditional Wear','Ralph Lauren',Palazzo,M,Red,Winter,Medium,High,High,Adult,High,'High Sales'
'Traditional Wear',Versace,Dress,XL,Purple,All-Season,Medium,Medium,High,Elder,Low,'High Sales'
'Traditional Wear','Forever 21','Polo Shirt',S,Black,Winter,Medium,Medium,Low,Teen,Low,'High Sales'
Bottoms,Puma,Leggings,XL,Green,Winter,Medium,Medium,Low,Senior,High,'High Sales'
'Traditional Wear',Gucci,Palazzo,XL,Pink,All-Season,Medium,Medium,Low,Adult,Medium,'High Sales'
Bottoms,'Forever 21',Blazer,XXL,Purple,Winter,Medium,Medium,Low,Elder,High,'High Sales'
Athleisure,H&M,Sweatshirt,L,Red,Winter,Medium,Medium,Low,Senior,High,'High Sales'
Tops,Balenciaga,'Casual Shirt',XXL,Yellow,Winter,Medium,High,Medium,Elder,High,'High Sales'
Tops,Wrangler,Jumpsuit,S,Yellow,Winter,Medium,Medium,High,Teen,Low,'High Sales'
Athleisure,Nike,Jacket,XL,Pink,Summer,Medium,Medium,Low,Teen,High,'High Sales'
Tops,Gucci,Jeans,XL,Blue,Winter,Medium,Medium,Low,Teen,Medium,'High Sales'
Athleisure,GAP,T-Shirt,XL,White,All-Season,Medium,Medium,Low,Elder,Low,'High Sales'
Outerwear,Diesel,Tops,S,White,Winter,Medium,Medium,Medium,Teen,High,'High Sales'
Athleisure,Versace,'Formal Shirt',L,Red,Summer,Medium,High,Medium,Senior,High,'High Sales'
Tops,'Calvin Klein',Trousers,L,Green,Winter,Medium,Low,Medium,Adult,High,'High Sales'
'Traditional Wear','Ralph Lauren',T-Shirt,XL,Red,Summer,High,Medium,High,Senior,Medium,'High Sales'
'Traditional Wear','Calvin Klein',Jeans,L,Blue,All-Season,Medium,High,High,Elder,High,'High Sales'
Outerwear,Puma,T-Shirt,S,White,Summer,Medium,High,Medium,Teen,High,'High Sales'
'Traditional Wear',Adidas,'Polo Shirt',XL,Purple,Winter,Medium,Medium,Low,Teen,High,'High Sales'
Outerwear,'Louis Vuitton',Trousers,XXL,Yellow,All-Season,High,High,Medium,Elder,Low,'High Sales'
